@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled. (Command "set_option -fix_gated_and_generated_clocks 1" in the project file.)
@N: MT206 |Auto Constrain mode is enabled
@N: FX493 |Applying initial value "0000" on instance deser_inst.lnk_trnd_buf[3:0].
@N: FX493 |Applying initial value "0000000000" on instance deser_inst.q10_buf[9:0].
@N: FX493 |Applying initial value "000" on instance ft601_comp.i_valid[2:0].
@N: FX493 |Applying initial value "10111011" on instance prng_inst.sr[31:24].
@N: MO225 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/ft601.vhd":153:8:153:9|There are no possible illegal states for state machine i_pre_valid[0:3] (in view: work.ft601(rtl)); safe FSM implementation is not required.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/ft601.vhd":68:35:68:37|Replicating instance ft601_comp.ft601_txe (in view: work.top(rtl_top)) with 9 loads 1 time to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/deserializer.vhd":121:8:121:9|Replicating instance deser_inst.counter[2] (in view: work.top(rtl_top)) with 10 loads 1 time to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/deserializer.vhd":121:8:121:9|Replicating instance deser_inst.counter[1] (in view: work.top(rtl_top)) with 10 loads 1 time to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/ft601.vhd":153:8:153:9|Replicating instance ft601_comp.i_pre_valid[1] (in view: work.top(rtl_top)) with 42 loads 2 times to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/ft601.vhd":153:8:153:9|Replicating instance ft601_comp.i_pre_valid[0] (in view: work.top(rtl_top)) with 40 loads 2 times to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/ft601.vhd":153:8:153:9|Replicating instance ft601_comp.i_tx_state[1] (in view: work.top(rtl_top)) with 151 loads 3 times to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/deserializer.vhd":121:8:121:9|Replicating instance deser_inst.counter[0] (in view: work.top(rtl_top)) with 11 loads 1 time to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/deserializer.vhd":81:8:81:9|Replicating instance deser_inst.q[2] (in view: work.top(rtl_top)) with 11 loads 1 time to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/deserializer.vhd":81:8:81:9|Replicating instance deser_inst.q[3] (in view: work.top(rtl_top)) with 8 loads 1 time to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/deserializer.vhd":81:8:81:9|Replicating instance deser_inst.q[0] (in view: work.top(rtl_top)) with 8 loads 1 time to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/deserializer.vhd":81:8:81:9|Replicating instance deser_inst.q[1] (in view: work.top(rtl_top)) with 8 loads 1 time to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/deserializer.vhd":81:8:81:9|Replicating instance deser_inst.q[9] (in view: work.top(rtl_top)) with 7 loads 1 time to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/deserializer.vhd":81:8:81:9|Replicating instance deser_inst.q[6] (in view: work.top(rtl_top)) with 6 loads 1 time to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/deserializer.vhd":81:8:81:9|Replicating instance deser_inst.q[4] (in view: work.top(rtl_top)) with 16 loads 2 times to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/ft601.vhd":153:8:153:9|Replicating instance ft601_comp.i_tx_state_fast[1] (in view: work.top(rtl_top)) with 25 loads 2 times to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/deserializer.vhd":81:8:81:9|Replicating instance deser_inst.q[8] (in view: work.top(rtl_top)) with 16 loads 2 times to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/deserializer.vhd":81:8:81:9|Replicating instance deser_inst.q10_buf[4] (in view: work.top(rtl_top)) with 6 loads 1 time to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/deserializer.vhd":81:8:81:9|Replicating instance deser_inst.q10_buf[8] (in view: work.top(rtl_top)) with 6 loads 1 time to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/deserializer.vhd":81:8:81:9|Replicating instance deser_inst.q10_buf[2] (in view: work.top(rtl_top)) with 5 loads 1 time to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/deserializer.vhd":81:8:81:9|Replicating instance deser_inst.q10_buf[0] (in view: work.top(rtl_top)) with 5 loads 1 time to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/deserializer.vhd":81:8:81:9|Replicating instance deser_inst.q10_buf[3] (in view: work.top(rtl_top)) with 5 loads 1 time to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/deserializer.vhd":81:8:81:9|Replicating instance deser_inst.q10_buf[1] (in view: work.top(rtl_top)) with 5 loads 1 time to improve timing.
@N: FX271 :"/home/apurvan/GSoC/usb-plug-mod-working/BER_mesurement_x1/src/deserializer.vhd":81:8:81:9|Replicating instance deser_inst.q10_buf[5] (in view: work.top(rtl_top)) with 4 loads 1 time to improve timing.
